title; artist; popularity
No Scrubs; TLC; 92
I Swear; All-4-One; 80
End Of The Road; Boyz II Men; 89
I'll Make Love To You; Boyz II Men; 86
Water Runs Dry; Boyz II Men; 82
On Bended Knee; Boyz II Men; 86
Motownphilly; Boyz II Men; 78
A Thousand Miles; Vanessa Carlton; 93
Complicated; Avril Lavigne; 76
Sk8er Boi; Avril Lavigne; 90
I'm with You; Avril Lavigne; 89
Since U Been Gone; Kelly Clarkson; 89
Because of You; Kelly Clarkson; 92
Breakaway; Kelly Clarkson; 75
Toxic; Britney Spears; 95
...Baby One More Time; Britney Spears; 96
Oops!...I Did It Again; Britney Spears; 70
Genie In a Bottle; Christina Aguilera; 91
Beautiful; Christina Aguilera; 66
Fighter; Christina Aguilera; 59
Dirrty (feat. Redman); Christina Aguilera; 85
Lady Marmalade - Single Edit; Christina Aguilera; 55
Crazy In Love (feat. JAY-Z); Beyoncé; 92
Single Ladies (Put a Ring on It); Beyoncé; 82
Halo; Beyoncé; 98
Irreplaceable; Beyoncé; 93
If I Were a Boy; Beyoncé; 94
Listen (From the Motion Picture Dreamgirls); Beyoncé; 80
Love On Top; Beyoncé; 92
Drunk in Love (feat. JAY-Z); Beyoncé; 94
Formation; Beyoncé; 65
Run the World (Girls); Beyoncé; 68
I Will Always Love You; Dolly Parton; 75
Jolene; Dolly Parton; 74
9 to 5; Dolly Parton; 88
Ring of Fire; Johnny Cash; 80
Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA - January 1968; Johnny Cash; 83
Hurt; Johnny Cash; 92
I Walk the Line; Johnny Cash; 80
Man in Black; Johnny Cash; 78
Sunday Morning Coming Down - Live at Ryman Auditorium, Nashville, TN - July 1970; Johnny Cash; 71
Crazy - Single Version; Patsy Cline; 40
I Fall To Pieces - Single Version; Patsy Cline; 25
Stand By Your Man; Tammy Wynette; 77
He Stopped Loving Her Today; George Jones; 66
Your Cheatin' Heart; Hank Williams; 57
I'm So Lonesome I Could Cry; Hank Williams; 79
Hey, Good Lookin'; Hank Williams; 58
Jambalaya (On The Bayou); Hank Williams; 72
Blue Eyes Crying In the Rain; Willie Nelson; 79
On the Road Again; Willie Nelson; 81
Always On My Mind; Willie Nelson; 83
Mammas Don't Let Your Babies Grow up to Be Cowboys; Waylon Jennings; 59
